71.224.164.27 - - [05/Mar/2016:14:04:37 -0800] "GET /img/prev.png HTTP/1.1" 404 89 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4" "www.dimennabrotherspainting.com"
71.224.164.27 - - [05/Mar/2016:14:04:37 -0800] "GET /img/next.png HTTP/1.1" 404 89 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4" "www.dimennabrotherspainting.com"
71.224.164.27 - - [05/Mar/2016:14:04:37 -0800] "GET /img/loading.gif HTTP/1.1" 404 89 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4" "www.dimennabrotherspainting.com"
71.224.164.27 - - [05/Mar/2016:14:04:37 -0800] "GET /_assets/DiMenna_113th.jpg HTTP/1.1" 200 24553 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4" "www.dimennabrotherspainting.com"
71.224.164.27 - - [05/Mar/2016:14:05:55 -0800] "GET / HTTP/1.1" 200 6951 "https://www.google.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4" "dimennabrotherspainting.com"
71.224.164.27 - - [05/Mar/2016:14:05:56 -0800] "GET /_js/responsiveslides.min.js HTTP/1.1" 200 3397 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4" "dimennabrotherspainting.com"
71.224.164.27 - - [05/Mar/2016:14:05:56 -0800] "GET /_css/main.css HTTP/1.1" 200 27326 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4" "dimennabrotherspainting.com"
71.224.164.27 - - [05/Mar/2016:14:05:56 -0800] "GET /_js/jquery-1.11.0.min.js HTTP/1.1" 200 65536 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4" "dimennabrotherspainting.com"
71.224.164.27 - - [05/Mar/2016:14:05:56 -0800] "GET /_img/alist.png HTTP/1.1" 200 98370 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4" "dimennabrotherspainting.com"
71.224.164.27 - - [05/Mar/2016:14:05:56 -0800] "GET /_assets/DiMenna_005.jpg HTTP/1.1" 200 299635 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4" "dimennabrotherspainting.com"
71.224.164.27 - - [05/Mar/2016:14:05:56 -0800] "GET /_assets/DiMenna_008.jpg HTTP/1.1" 200 441895 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4" "dimennabrotherspainting.com"
71.224.164.27 - - [05/Mar/2016:14:05:56 -0800] "GET /_assets/DiMenna_000.jpg HTTP/1.1" 200 395724 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4" "dimennabrotherspainting.com"
71.224.164.27 - - [05/Mar/2016:14:05:56 -0800] "GET /_img/dimennalogo.png HTTP/1.1" 200 15115 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4" "dimennabrotherspainting.com"
71.224.164.27 - - [05/Mar/2016:14:05:56 -0800] "GET /_assets/DiMenna_004.jpg HTTP/1.1" 200 363258 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4" "dimennabrotherspainting.com"
71.224.164.27 - - [05/Mar/2016:14:05:56 -0800] "GET /_assets/DiMenna_002.jpg HTTP/1.1" 200 245421 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4" "dimennabrotherspainting.com"
71.224.164.27 - - [05/Mar/2016:14:05:56 -0800] "GET /_assets/DiMenna_006.jpg HTTP/1.1" 200 381232 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4" "dimennabrotherspainting.com"
71.224.164.27 - - [05/Mar/2016:14:05:58 -0800] "GET /favicon.ico HTTP/1.1" 404 89 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4" "dimennabrotherspainting.com"
71.224.164.27 - - [05/Mar/2016:14:05:59 -0800] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 89 "-" "Safari/10601.4.4 CFNetwork/720.5.7 Darwin/14.5.0 (x86_64)" "dimennabrotherspainting.com"
71.224.164.27 - - [05/Mar/2016:14:05:59 -0800] "GET /apple-touch-icon.png HTTP/1.1" 404 89 "-" "Safari/10601.4.4 CFNetwork/720.5.7 Darwin/14.5.0 (x86_64)" "dimennabrotherspainting.com"
71.224.164.27 - - [05/Mar/2016:14:06:07 -0800] "GET /contact.php HTTP/1.1" 200 4804 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4" "dimennabrotherspainting.com"
71.224.164.27 - - [05/Mar/2016:14:06:07 -0800] "GET /_css/main.css HTTP/1.1" 200 27326 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4" "dimennabrotherspainting.com"
71.224.164.27 - - [05/Mar/2016:14:06:07 -0800] "GET /_assets/DiMenna_300.jpg HTTP/1.1" 200 129462 "http://dimennabrotherspainting.com/contact.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4" "dimennabrotherspainting.com"
