71.224.164.27 - - [18/Nov/2015:13:03:24 -0800] "GET /_assets/DiMenna_210th.jpg HTTP/1.1" 200 31996 "http://www.dimennabrotherspainting.com/about.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Nov/2015:13:03:24 -0800] "GET /_assets/DiMenna_207th.jpg HTTP/1.1" 200 28279 "http://www.dimennabrotherspainting.com/about.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Nov/2015:13:03:27 -0800] "GET /img/prev.png HTTP/1.1" 404 89 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Nov/2015:13:03:27 -0800] "GET /img/loading.gif HTTP/1.1" 404 89 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Nov/2015:13:03:27 -0800] "GET /img/next.png HTTP/1.1" 404 89 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Nov/2015:13:03:27 -0800] "GET /img/close.png HTTP/1.1" 404 89 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Nov/2015:13:03:32 -0800] "GET /img/next.png HTTP/1.1" 404 89 "http://www.dimennabrotherspainting.com/about.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Nov/2015:13:03:32 -0800] "GET /img/prev.png HTTP/1.1" 404 89 "http://www.dimennabrotherspainting.com/about.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Nov/2015:13:03:32 -0800] "GET /img/close.png HTTP/1.1" 404 89 "http://www.dimennabrotherspainting.com/about.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Nov/2015:13:03:32 -0800] "GET /img/loading.gif HTTP/1.1" 404 89 "http://www.dimennabrotherspainting.com/about.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Nov/2015:13:03:51 -0800] "GET /contact.php HTTP/1.1" 200 4634 "http://www.dimennabrotherspainting.com/about.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Nov/2015:13:38:39 -0800] "GET / HTTP/1.1" 200 35297 "https://www.google.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Nov/2015:13:38:39 -0800] "GET /yahoo_site_admin/assets/images/power-washing3.187134423_std.jpg HTTP/1.1" 200 135008 "http://www.dimennabrotherspainting.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Nov/2015:13:38:46 -0800] "GET / HTTP/1.1" 200 35297 "https://www.google.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Nov/2015:13:41:37 -0800] "GET /yahoo_site_admin/assets/images/powerwashing.187140110_std.jpg HTTP/1.1" 200 81050 "http://pressurewashcollegeville.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1" "dimennabrotherspainting.com"
66.249.88.43 - - [18/Nov/2015:13:42:00 -0800] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Google favicon" "dimennabrotherspainting.com"
180.76.15.142 - - [18/Nov/2015:13:42:53 -0800] "GET /contact_us HTTP/1.1" 200 48230 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.dimennabrotherspainting.com"
