71.224.164.27 - - [18/Dec/2015:14:41:02 -0800] "GET /img/prev.png HTTP/1.1" 404 89 "http://www.dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Dec/2015:14:41:21 -0800] "GET /_js/responsiveslides.min.js HTTP/1.1" 200 3397 "http://www.dimennabrotherspainting.com/index.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Dec/2015:14:41:21 -0800] "GET /_assets/DiMenna_004.jpg HTTP/1.1" 200 363258 "http://www.dimennabrotherspainting.com/index.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Dec/2015:14:41:21 -0800] "GET /_assets/DiMenna_000.jpg HTTP/1.1" 200 395724 "http://www.dimennabrotherspainting.com/index.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Dec/2015:14:41:22 -0800] "GET /_assets/DiMenna_008.jpg HTTP/1.1" 200 441895 "http://www.dimennabrotherspainting.com/index.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "www.dimennabrotherspainting.com"
71.224.164.27 - - [18/Dec/2015:14:57:37 -0800] "GET / HTTP/1.1" 200 6951 "https://www.google.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "dimennabrotherspainting.com"
71.224.164.27 - - [18/Dec/2015:14:57:37 -0800] "GET /_css/main.css HTTP/1.1" 200 27326 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "dimennabrotherspainting.com"
71.224.164.27 - - [18/Dec/2015:14:57:37 -0800] "GET /_js/jquery-1.11.0.min.js HTTP/1.1" 200 96380 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "dimennabrotherspainting.com"
71.224.164.27 - - [18/Dec/2015:14:57:37 -0800] "GET /_img/alist.png HTTP/1.1" 200 98370 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "dimennabrotherspainting.com"
71.224.164.27 - - [18/Dec/2015:14:57:37 -0800] "GET /_js/responsiveslides.min.js HTTP/1.1" 200 3397 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "dimennabrotherspainting.com"
