66.220.145.244 - - [24/Feb/2016:17:17:23 -0800] "GET /_css/lightbox.css HTTP/1.1" 200 3874 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "dimennabrotherspainting.com"
69.171.228.118 - - [24/Feb/2016:17:17:24 -0800] "GET /_assets/DiMenna_200th.jpg HTTP/1.1" 206 19272 "-" "facebookexternalhit/1.1" "dimennabrotherspainting.com"
66.220.145.246 - - [24/Feb/2016:17:17:24 -0800] "GET /_assets/DiMenna_209th.jpg HTTP/1.1" 200 22432 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "dimennabrotherspainting.com"
66.220.145.245 - - [24/Feb/2016:17:17:24 -0800] "GET /_assets/DiMenna_210th.jpg HTTP/1.1" 200 31996 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "dimennabrotherspainting.com"
66.220.145.246 - - [24/Feb/2016:17:17:24 -0800] "GET /img/close.png HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "dimennabrotherspainting.com"
66.220.145.246 - - [24/Feb/2016:17:17:24 -0800] "GET /img/loading.gif HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "dimennabrotherspainting.com"
66.220.145.245 - - [24/Feb/2016:17:17:25 -0800] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "dimennabrotherspainting.com"
172.56.29.196 - - [24/Feb/2016:17:17:27 -0800] "GET /about.html HTTP/1.1" 200 6204 "-" "Mozilla/5.0 (Linux; Android 5.1.1; LGMS631 Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.95 Mobile Safari/537.36" "dimennabrotherspainting.com"
172.56.29.196 - - [24/Feb/2016:17:17:27 -0800] "GET /_assets/DiMenna_201th.jpg HTTP/1.1" 200 24458 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Linux; Android 5.1.1; LGMS631 Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.95 Mobile Safari/537.36" "dimennabrotherspainting.com"
172.56.29.196 - - [24/Feb/2016:17:17:27 -0800] "GET /_assets/DiMenna_202th.jpg HTTP/1.1" 200 22278 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Linux; Android 5.1.1; LGMS631 Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.95 Mobile Safari/537.36" "dimennabrotherspainting.com"
172.56.29.196 - - [24/Feb/2016:17:17:27 -0800] "GET /_assets/DiMenna_205th.jpg HTTP/1.1" 200 16395 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Linux; Android 5.1.1; LGMS631 Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.95 Mobile Safari/537.36" "dimennabrotherspainting.com"
172.56.29.196 - - [24/Feb/2016:17:17:27 -0800] "GET /img/close.png HTTP/1.1" 404 89 "http://dimennabrotherspainting.com/_css/lightbox.css" "Mozilla/5.0 (Linux; Android 5.1.1; LGMS631 Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.95 Mobile Safari/537.36" "dimennabrotherspainting.com"
172.56.29.196 - - [24/Feb/2016:17:17:27 -0800] "GET /img/prev.png HTTP/1.1" 404 89 "http://dimennabrotherspainting.com/_css/lightbox.css" "Mozilla/5.0 (Linux; Android 5.1.1; LGMS631 Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.95 Mobile Safari/537.36" "dimennabrotherspainting.com"
172.56.29.196 - - [24/Feb/2016:17:17:27 -0800] "GET /img/loading.gif HTTP/1.1" 404 89 "http://dimennabrotherspainting.com/_css/lightbox.css" "Mozilla/5.0 (Linux; Android 5.1.1; LGMS631 Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.95 Mobile Safari/537.36" "dimennabrotherspainting.com"
66.249.75.69 - - [24/Feb/2016:18:26:48 -0800] "GET /_assets/DiMenna_210.jpg HTTP/1.1" 200 252044 "-" "Googlebot-Image/1.0" "www.dimennabrotherspainting.com"
66.249.75.59 - - [24/Feb/2016:18:32:43 -0800] "GET /_assets/DiMenna_105th.jpg HTTP/1.1" 200 20509 "-" "Googlebot-Image/1.0" "www.dimennabrotherspainting.com"
66.249.75.59 - - [24/Feb/2016:18:41:31 -0800] "GET /_assets/DiMenna_300.jpg HTTP/1.1" 200 129462 "-" "Googlebot-Image/1.0" "www.dimennabrotherspainting.com"
54.147.163.214 - - [24/Feb/2016:18:49:20 -0800] "GET / HTTP/1.1" 200 6951 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.34 (KHTML, like Gecko) Qt/4.8.2" "dimennabrotherspainting.com"
54.147.163.214 - - [24/Feb/2016:18:49:20 -0800] "GET /_js/responsiveslides.min.js HTTP/1.1" 200 3397 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.34 (KHTML, like Gecko) Qt/4.8.2" "dimennabrotherspainting.com"
54.147.163.214 - - [24/Feb/2016:18:49:20 -0800] "GET /_css/main.css HTTP/1.1" 200 27326 "http://dimennabrotherspainting.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.34 (KHTML, like Gecko) Qt/4.8.2" "dimennabrotherspainting.com"
54.147.163.214 - - [24/Feb/2016:18:49:29 -0800] "GET /_js/lightbox.js HTTP/1.1" 200 14872 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.34 (KHTML, like Gecko) Qt/4.8.2" "dimennabrotherspainting.com"
66.249.69.51 - - [24/Feb/2016:19:17:24 -0800] "GET /_assets/DiMenna_113.jpg HTTP/1.1" 200 521232 "-" "Googlebot-Image/1.0" "www.dimennabrotherspainting.com"
66.249.75.155 - - [24/Feb/2016:19:36:58 -0800] "GET /_assets/DiMenna_009.jpg HTTP/1.1" 200 335724 "-" "Googlebot-Image/1.0" "dimennabrotherspainting.com"
66.249.75.155 - - [24/Feb/2016:21:12:47 -0800] "GET /_assets/DiMenna_007.jpg HTTP/1.1" 200 370448 "-" "Googlebot-Image/1.0" "dimennabrotherspainting.com"
66.249.69.59 - - [24/Feb/2016:21:17:36 -0800] "GET /_assets/DiMenna_109th.jpg HTTP/1.1" 200 25863 "-" "Googlebot-Image/1.0" "www.dimennabrotherspainting.com"
66.249.69.59 - - [24/Feb/2016:21:17:40 -0800] "GET /_assets/DiMenna_109.jpg HTTP/1.1" 200 162088 "-" "Googlebot-Image/1.0" "www.dimennabrotherspainting.com"
66.249.69.59 - - [24/Feb/2016:21:43:53 -0800] "GET /_assets/DiMenna_113th.jpg HTTP/1.1" 200 24553 "-" "Googlebot-Image/1.0" "www.dimennabrotherspainting.com"
66.249.75.59 - - [24/Feb/2016:21:49:58 -0800] "GET /_assets/DiMenna_103.jpg HTTP/1.1" 200 173537 "-" "Googlebot-Image/1.0" "www.dimennabrotherspainting.com"
66.249.75.51 - - [24/Feb/2016:21:54:33 -0800] "GET /_assets/DiMenna_208.jpg HTTP/1.1" 200 218447 "-" "Googlebot-Image/1.0" "www.dimennabrotherspainting.com"
66.249.69.51 - - [24/Feb/2016:23:02:58 -0800] "GET /_assets/DiMenna_203.jpg HTTP/1.1" 200 161202 "-" "Googlebot-Image/1.0" "www.dimennabrotherspainting.com"
66.249.69.59 - - [24/Feb/2016:23:15:43 -0800] "GET /_assets/DiMenna_204.jpg HTTP/1.1" 200 166478 "-" "Googlebot-Image/1.0" "www.dimennabrotherspainting.com"
