180.76.15.24 - - [28/Nov/2015:16:49:43 -0800] "GET /robots.txt HTTP/1.1" 200 54 "-" "Mozilla/5.0 (Windows NT 5.1; rv:6.0.2) Gecko/20100101 Firefox/6.0.2" "www.dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:10 -0800] "GET /_assets/DiMenna_113th.jpg HTTP/1.1" 200 24553 "http://dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:10 -0800] "GET /_assets/DiMenna_114th.jpg HTTP/1.1" 200 25530 "http://dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:10 -0800] "GET /_assets/DiMenna_112th.jpg HTTP/1.1" 200 144240 "http://dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:10 -0800] "GET /img/close.png HTTP/1.1" 404 89 "http://dimennabrotherspainting.com/_css/lightbox.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:10 -0800] "GET /img/loading.gif HTTP/1.1" 404 89 "http://dimennabrotherspainting.com/_css/lightbox.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:10 -0800] "GET /img/prev.png HTTP/1.1" 404 89 "http://dimennabrotherspainting.com/_css/lightbox.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:10 -0800] "GET /img/next.png HTTP/1.1" 404 89 "http://dimennabrotherspainting.com/_css/lightbox.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:12 -0800] "GET /about.html HTTP/1.1" 200 6204 "http://dimennabrotherspainting.com/services.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:12 -0800] "GET /_assets/DiMenna_200th.jpg HTTP/1.1" 200 19272 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:12 -0800] "GET /_assets/DiMenna_202th.jpg HTTP/1.1" 200 22278 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:12 -0800] "GET /_assets/DiMenna_201th.jpg HTTP/1.1" 200 24458 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:12 -0800] "GET /_assets/DiMenna_204th.jpg HTTP/1.1" 200 20335 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:12 -0800] "GET /_assets/DiMenna_203th.jpg HTTP/1.1" 200 22197 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:12 -0800] "GET /_assets/DiMenna_211th.jpg HTTP/1.1" 200 23857 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:12 -0800] "GET /_assets/DiMenna_209th.jpg HTTP/1.1" 200 22432 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:12 -0800] "GET /_assets/DiMenna_205th.jpg HTTP/1.1" 200 16395 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:12 -0800] "GET /_assets/DiMenna_210th.jpg HTTP/1.1" 200 31996 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:12 -0800] "GET /_assets/DiMenna_206th.jpg HTTP/1.1" 200 33716 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:12 -0800] "GET /_assets/DiMenna_207th.jpg HTTP/1.1" 200 28279 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:12 -0800] "GET /_assets/DiMenna_208th.jpg HTTP/1.1" 200 23739 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:16 -0800] "GET /_assets/DiMenna_203.jpg HTTP/1.1" 200 161202 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:19 -0800] "GET /_assets/DiMenna_202.jpg HTTP/1.1" 200 189917 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:19 -0800] "GET /_assets/DiMenna_204.jpg HTTP/1.1" 200 166478 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:21 -0800] "GET /_assets/DiMenna_205.jpg HTTP/1.1" 200 98621 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:23 -0800] "GET /_assets/DiMenna_206.jpg HTTP/1.1" 200 269676 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:24 -0800] "GET /_assets/DiMenna_207.jpg HTTP/1.1" 200 280248 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:26 -0800] "GET /_assets/DiMenna_208.jpg HTTP/1.1" 200 218447 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:29 -0800] "GET /_assets/DiMenna_209.jpg HTTP/1.1" 200 201297 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:32 -0800] "GET /_assets/DiMenna_210.jpg HTTP/1.1" 200 252044 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:35 -0800] "GET /_assets/DiMenna_211.jpg HTTP/1.1" 200 233065 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
107.131.160.240 - - [29/Nov/2015:07:44:39 -0800] "GET /_assets/DiMenna_300.jpg HTTP/1.1" 200 129462 "http://dimennabrotherspainting.com/contact.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36" "dimennabrotherspainting.com"
