71.230.40.151 - - [18/Jan/2016:14:01:21 -0800] "GET /_assets/DiMenna_202th.jpg HTTP/1.1" 200 22278 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "dimennabrotherspainting.com"
71.230.40.151 - - [18/Jan/2016:14:01:21 -0800] "GET /_assets/DiMenna_201th.jpg HTTP/1.1" 200 24458 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "dimennabrotherspainting.com"
71.230.40.151 - - [18/Jan/2016:14:01:21 -0800] "GET /_assets/DiMenna_205th.jpg HTTP/1.1" 200 16395 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "dimennabrotherspainting.com"
71.230.40.151 - - [18/Jan/2016:14:01:21 -0800] "GET /img/close.png HTTP/1.1" 404 89 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "dimennabrotherspainting.com"
71.230.40.151 - - [18/Jan/2016:14:01:21 -0800] "GET /_assets/DiMenna_206th.jpg HTTP/1.1" 200 33716 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "dimennabrotherspainting.com"
71.230.40.151 - - [18/Jan/2016:14:01:21 -0800] "GET /img/loading.gif HTTP/1.1" 404 89 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "dimennabrotherspainting.com"
71.230.40.151 - - [18/Jan/2016:14:01:21 -0800] "GET /_assets/DiMenna_208th.jpg HTTP/1.1" 200 23739 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "dimennabrotherspainting.com"
71.230.40.151 - - [18/Jan/2016:14:01:21 -0800] "GET /img/prev.png HTTP/1.1" 404 89 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "dimennabrotherspainting.com"
71.230.40.151 - - [18/Jan/2016:14:01:21 -0800] "GET /img/next.png HTTP/1.1" 404 89 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "dimennabrotherspainting.com"
71.230.40.151 - - [18/Jan/2016:14:01:21 -0800] "GET /_assets/DiMenna_209th.jpg HTTP/1.1" 200 22432 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "dimennabrotherspainting.com"
71.230.40.151 - - [18/Jan/2016:14:01:21 -0800] "GET /_assets/DiMenna_211th.jpg HTTP/1.1" 200 23857 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "dimennabrotherspainting.com"
71.230.40.151 - - [18/Jan/2016:14:01:21 -0800] "GET /_assets/DiMenna_210th.jpg HTTP/1.1" 200 31996 "http://dimennabrotherspainting.com/about.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "dimennabrotherspainting.com"
71.230.40.151 - - [18/Jan/2016:14:03:44 -0800] "GET /img/prev.png HTTP/1.1" 404 89 "http://dimennabrotherspainting.com/services.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1" "dimennabrotherspainting.com"
131.253.38.67 - - [18/Jan/2016:14:47:07 -0800] "GET /BingSiteAuth.xml HTTP/1.1" 200 85 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 7.1; Trident/5.0)" "www.dimennabrotherspainting.com"
131.253.38.67 - - [18/Jan/2016:14:47:08 -0800] "GET /BingSiteAuth.xml HTTP/1.1" 200 85 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 7.1; Trident/5.0)" "dimennabrotherspainting.com"
